event,value,timestamp,elapsed time
MeanHrv,51.2,2024-06-16T00:25:57.068725,-76.35314202308655
MeanHrv,58.6,2024-06-16T00:25:58.084926,-77.36934280395508
MeanHrv,63.4,2024-06-16T00:25:59.045085,-78.32950139045715
MeanHrv,64.9,2024-06-16T00:26:00.072075,-79.35649180412292
MeanHrv,77.3,2024-06-16T00:26:02.049057,-81.33347368240356
MeanHrv,81.4,2024-06-16T00:26:03.069716,-82.35413265228271
MeanHrv,86.2,2024-06-16T00:26:05.057749,-84.34216594696045
MeanHrv,94.8,2024-06-16T00:26:07.085692,-86.370108127594
MeanHrv,88.1,2024-06-16T00:26:08.049502,-87.33391833305359
MeanHrv,78.5,2024-06-16T00:26:09.066366,-88.35078287124634
MeanHrv,108.5,2024-06-16T00:26:14.049873,-93.33429002761841
MeanHrv,101.5,2024-06-16T00:26:15.071157,-94.35557413101196
MeanHrv,97.4,2024-06-16T00:26:16.151289,-95.43570590019226
MeanHrv,135.1,2024-06-16T00:26:17.109462,-96.39387822151184
MeanHrv,127.7,2024-06-16T00:26:19.509506,-98.79392266273499
MeanHrv,129.7,2024-06-16T00:26:22.392138,-101.67655444145203
